epoch (ms),time (03:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667927953173,2022-11-08T19:19:13.173,9.680,-0.183,-0.061,0.518
1667927953213,2022-11-08T19:19:13.213,9.720,-0.854,-0.152,0.518
1667927953253,2022-11-08T19:19:13.253,9.760,-0.945,-0.488,0.122
1667927953293,2022-11-08T19:19:13.293,9.800,-1.311,-0.518,0.213
1667927953333,2022-11-08T19:19:13.333,9.840,-1.159,-0.640,0.335
1667927953373,2022-11-08T19:19:13.373,9.880,-0.122,-1.098,0.762
1667927953413,2022-11-08T19:19:13.413,9.920,-0.091,-0.976,1.677
1667927953453,2022-11-08T19:19:13.453,9.960,0.000,-1.433,2.348
1667927953493,2022-11-08T19:19:13.493,10.000,0.152,-2.012,2.866
1667927953533,2022-11-08T19:19:13.533,10.040,1.524,-1.860,2.409
1667927953573,2022-11-08T19:19:13.573,10.080,1.829,-1.860,1.799
1667927953613,2022-11-08T19:19:13.613,10.120,-0.488,-0.549,1.006
1667927953653,2022-11-08T19:19:13.653,10.160,-1.890,0.610,0.701
1667927953693,2022-11-08T19:19:13.693,10.200,-3.018,0.915,0.518
1667927953733,2022-11-08T19:19:13.733,10.240,-3.506,0.976,0.305
1667927953773,2022-11-08T19:19:13.773,10.280,-2.500,0.610,-0.366
1667927953813,2022-11-08T19:19:13.813,10.320,-0.823,1.585,-0.244
1667927953853,2022-11-08T19:19:13.853,10.360,-1.067,1.220,-0.732
1667927953893,2022-11-08T19:19:13.893,10.400,0.945,0.488,-1.098
1667927953933,2022-11-08T19:19:13.933,10.440,0.732,0.122,-0.884
1667927953973,2022-11-08T19:19:13.973,10.480,1.037,0.732,-1.220
1667927954013,2022-11-08T19:19:14.013,10.520,0.091,1.037,-0.701
1667927954053,2022-11-08T19:19:14.053,10.560,-1.067,1.738,-0.549
1667927954093,2022-11-08T19:19:14.093,10.600,0.732,2.317,0.061
1667927954133,2022-11-08T19:19:14.133,10.640,-0.396,-0.152,-0.549
1667927954173,2022-11-08T19:19:14.173,10.680,1.220,-0.732,-1.616
1667927954213,2022-11-08T19:19:14.213,10.720,-1.738,0.854,-1.280
1667927954253,2022-11-08T19:19:14.253,10.760,-1.463,0.793,-1.341
1667927954293,2022-11-08T19:19:14.293,10.800,-0.030,0.518,-1.311
1667927954333,2022-11-08T19:19:14.333,10.840,-0.457,0.640,-0.732
1667927954373,2022-11-08T19:19:14.373,10.880,-1.280,0.244,0.244
1667927954413,2022-11-08T19:19:14.413,10.920,-1.159,0.701,1.250
1667927954453,2022-11-08T19:19:14.453,10.960,-0.518,0.305,1.646
1667927954493,2022-11-08T19:19:14.493,11.000,-1.738,1.921,2.409
1667927954533,2022-11-08T19:19:14.533,11.040,-1.006,1.829,2.378
1667927954573,2022-11-08T19:19:14.573,11.080,-1.372,0.274,1.829
1667927954613,2022-11-08T19:19:14.613,11.120,-0.823,0.213,2.012
1667927954653,2022-11-08T19:19:14.653,11.160,-0.579,0.335,1.738
1667927954693,2022-11-08T19:19:14.693,11.200,-0.427,0.396,1.555
1667927954733,2022-11-08T19:19:14.733,11.240,-0.823,0.091,1.189
1667927954773,2022-11-08T19:19:14.773,11.280,-0.091,0.457,0.854
1667927954813,2022-11-08T19:19:14.813,11.320,1.311,0.091,0.579
