epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667827976277,2022-11-07T15:32:56.277,9.520,-0.074,0.079,-0.994
1667827976317,2022-11-07T15:32:56.317,9.560,-0.089,0.086,-0.990
1667827976357,2022-11-07T15:32:56.357,9.600,-0.099,0.083,-0.994
1667827976397,2022-11-07T15:32:56.397,9.640,-0.101,0.093,-1.023
1667827976437,2022-11-07T15:32:56.437,9.680,-0.111,0.090,-1.036
1667827976477,2022-11-07T15:32:56.477,9.720,-0.102,0.084,-1.004
1667827976517,2022-11-07T15:32:56.517,9.760,-0.075,0.072,-0.960
1667827976557,2022-11-07T15:32:56.557,9.800,-0.066,0.084,-0.946
1667827976597,2022-11-07T15:32:56.597,9.840,-0.082,0.093,-0.967
1667827976637,2022-11-07T15:32:56.637,9.880,-0.090,0.100,-0.987
1667827976677,2022-11-07T15:32:56.677,9.920,-0.082,0.105,-0.984
1667827976717,2022-11-07T15:32:56.717,9.960,-0.077,0.137,-1.000
1667827976757,2022-11-07T15:32:56.757,10.000,-0.106,0.126,-1.013
1667827976797,2022-11-07T15:32:56.797,10.040,-0.092,0.084,-0.978
1667827976837,2022-11-07T15:32:56.837,10.080,-0.068,0.064,-0.950
1667827976877,2022-11-07T15:32:56.877,10.120,-0.073,0.099,-0.960
1667827976917,2022-11-07T15:32:56.917,10.160,-0.097,0.142,-1.010
1667827976957,2022-11-07T15:32:56.957,10.200,-0.102,0.055,-1.037
1667827976997,2022-11-07T15:32:56.997,10.240,-0.091,0.062,-1.011
1667827977037,2022-11-07T15:32:57.037,10.280,-0.076,0.048,-0.982
1667827977077,2022-11-07T15:32:57.077,10.320,-0.059,-0.007,-0.972
1667827977117,2022-11-07T15:32:57.117,10.360,-0.064,0.001,-0.998
1667827977157,2022-11-07T15:32:57.157,10.400,-0.100,-0.026,-1.031
1667827977197,2022-11-07T15:32:57.197,10.440,-0.073,0.005,-1.011
1667827977237,2022-11-07T15:32:57.237,10.480,-0.047,0.018,-0.990
1667827977277,2022-11-07T15:32:57.277,10.520,-0.054,0.006,-0.987
1667827977317,2022-11-07T15:32:57.317,10.560,-0.048,0.012,-0.984
1667827977357,2022-11-07T15:32:57.357,10.600,-0.035,0.027,-0.971
1667827977397,2022-11-07T15:32:57.397,10.640,-0.034,0.043,-0.985
1667827977437,2022-11-07T15:32:57.437,10.680,-0.052,0.035,-1.014
1667827977477,2022-11-07T15:32:57.477,10.720,-0.083,0.019,-1.027
1667827977517,2022-11-07T15:32:57.517,10.760,-0.069,-0.004,-1.012
1667827977557,2022-11-07T15:32:57.557,10.800,-0.066,-0.012,-1.000
1667827977597,2022-11-07T15:32:57.597,10.840,-0.065,-0.003,-1.000
1667827977637,2022-11-07T15:32:57.637,10.880,-0.054,-0.019,-1.002
1667827977677,2022-11-07T15:32:57.677,10.920,-0.033,-0.014,-0.990
1667827977717,2022-11-07T15:32:57.717,10.960,-0.024,0.011,-0.980
1667827977757,2022-11-07T15:32:57.757,11.000,-0.030,0.014,-0.979
1667827977797,2022-11-07T15:32:57.797,11.040,-0.023,0.022,-0.989
1667827977837,2022-11-07T15:32:57.837,11.080,-0.031,0.023,-0.996
1667827977877,2022-11-07T15:32:57.877,11.120,-0.035,0.034,-0.990
1667827977917,2022-11-07T15:32:57.917,11.160,-0.020,0.040,-0.996
1667827977957,2022-11-07T15:32:57.957,11.200,-0.048,0.037,-1.015
1667827977997,2022-11-07T15:32:57.997,11.240,-0.048,0.021,-0.997
1667827978037,2022-11-07T15:32:58.037,11.280,-0.016,0.020,-0.968
1667827978077,2022-11-07T15:32:58.077,11.320,-0.011,0.023,-0.965
1667827978117,2022-11-07T15:32:58.117,11.360,-0.022,0.028,-0.983
1667827978157,2022-11-07T15:32:58.157,11.400,-0.043,0.069,-1.017
1667827978197,2022-11-07T15:32:58.197,11.440,-0.061,0.056,-1.029
1667827978237,2022-11-07T15:32:58.237,11.480,-0.060,0.021,-1.015
1667827978277,2022-11-07T15:32:58.277,11.520,-0.046,0.037,-0.994
1667827978317,2022-11-07T15:32:58.317,11.560,-0.036,0.029,-0.970
1667827978357,2022-11-07T15:32:58.357,11.600,-0.035,0.024,-0.972
1667827978397,2022-11-07T15:32:58.397,11.640,-0.034,0.042,-0.993
1667827978437,2022-11-07T15:32:58.437,11.680,-0.042,0.035,-1.000
